time , lin_pos[m] , euler_rpy[deg] , foot1_pos[m] , foot2_pos[m] , foot3_pos[m] , foot4_pos[m] , foot1_F[N] , foot2_F[N] , foot3_F[N] , foot4_F[N] , foot1_contact , foot2_contact , foot3_contact , foot4_contact 
0,  0   0 0.9,0 0 0,0.34 0.19    0, 0.34 -0.19     0,-0.34  0.19     0,-0.34 -0.19     0,0.0734069 0.0513512  0.346107,0.00539071  0.0198677   0.186002,0.0484347 0.0869115  0.315883,0.00409117  0.0347155   0.173556
0.01,2.82009e-05 3.43322e-05    0.899389, 0.000249719  0.000338609 -3.01582e-05,0.34 0.19    0, 0.34 -0.19     0,-0.34  0.19     0,-0.34 -0.19     0, 27.5191   52.397 -343.531,-4.39495 -9.52415  11.4224, 26.2254  42.4718 -181.685, -2.4807 -4.50309 -9.06637
0.02,0.000224717 0.000273351    0.897065,-0.000800057   0.00348925 -1.50674e-05,0.34 0.19    0, 0.34 -0.19     0,-0.34  0.19     0,-0.34 -0.19     0,  60.246  104.637 -684.838,-14.4093 -31.6199  37.6103, 55.4135  79.3577 -365.015,-7.59975  -14.103 -28.0055
0.03,0.000757419 0.000921089    0.892294,-0.00584772   0.0126541  0.00020362,0.34 0.19    0, 0.34 -0.19     0,-0.34  0.19     0,-0.34 -0.19     0, 95.6418  154.499 -1009.38,-25.2577 -56.4628  67.4672, 85.4008  110.132 -540.881,-11.8501 -22.7448 -43.4727
0.04,0.00179418 0.00218158   0.884339, -0.0175917   0.0310355 0.000784253,0.34 0.19    0, 0.34 -0.19     0,-0.34  0.19     0,-0.34 -0.19     0, 131.094  199.712 -1302.97,-32.1601 -74.2486  89.7111,113.975 134.181 -700.49,-11.7288 -24.4081 -42.2969
0.05,0.00350286 0.00425885   0.872466,-0.0387303  0.0618356 0.00188518,0.34 0.19    0, 0.34 -0.19     0,-0.34  0.19     0,-0.34 -0.19     0,163.989 238.003 -1551.4,-30.3365 -75.1725  93.0595, 138.925  150.894 -835.048,-3.73284 -13.0728 -11.3072
0.06,0.00605134 0.00735695    0.85594, -0.071962   0.108257 0.00366474,0.34 0.19    0, 0.34 -0.19     0,-0.34  0.19     0,-0.34 -0.19     0, 191.716  267.102 -1740.49,-15.0069 -49.4303  66.2303, 158.038  159.656 -935.762,15.6407 17.2814 62.6676
0.07,0.00960749  0.0116799   0.834024,-0.119985  0.173501 0.0062813,0.34 0.19    0, 0.34 -0.19     0,-0.34  0.19     0,-0.34 -0.19     0, 211.661  284.736 -1856.03,16.7707 9.18556 1.99585, 169.103  159.856 -993.839,48.3012 70.0253 186.772
0.08,0.0143392 0.0174317  0.805984, -0.185498    0.26077 0.00989319,0.34 0.19    0, 0.34 -0.19     0,-0.34  0.19     0,-0.34 -0.19     0, 221.212  288.633 -1883.85, 44.4673  60.8126 -54.8735, 169.907   150.88 -1000.49,75.9978 114.951 291.939
0.09,0.0204143 0.0248165  0.771084,  -0.2712  0.373267 0.0146588,0.34 0.19    0, 0.34 -0.19     0,-0.34  0.19     0,-0.34 -0.19     0, 217.757  276.523 -1809.73, 61.0853  91.7888 -88.9952,158.239 132.117 -946.91,92.6158 141.907 355.039
0.1,0.0280006 0.0340382   0.72859,-0.379788  0.514194 0.0207364,0.34 0.19    0, 0.34 -0.19     0,-0.34  0.19     0,-0.34 -0.19     0,198.683 246.132 -1619.5, 66.6246  102.114 -100.369, 131.886  102.952 -824.316,98.1551 150.892 376.072
0.11,0.0371448 0.0451876  0.678277,-0.517343  0.685749  0.027712,0.34 0.19    0, 0.34 -0.19     0,-0.34  0.19     0,-0.34 -0.19     0, 161.376   195.19 -1298.95, 61.0853  91.7888 -88.9952, 88.6375  62.7735 -623.912,92.6158 141.907 355.039
0.12,0.0474076  0.057903  0.621972,-0.703478  0.886113 0.0328823,0.34 0.19    0, 0.34 -0.19     0,-0.34  0.19     0,-0.34 -0.19     0, 103.226  121.424 -833.892, 44.4673  60.8126 -54.8735, 26.2805  10.9688 -336.905,75.9978 114.951 291.939
0.13,0.0582286 0.0717091  0.562012,-0.961188   1.11246 0.0329715,0.34 0.19    0, 0.34 -0.19     0,-0.34  0.19     0,-0.34 -0.19     0, 21.6186  22.5637 -210.131,16.7707 9.18556 1.99585,-57.3967 -53.0749   45.499,48.3012 70.0253 186.772
0.14,0.0690473 0.0861308  0.500735, -1.31346   1.36198 0.0247038,0.34 0.19    0, 0.34 -0.19     0,-0.34  0.19     0,-0.34 -0.19     0,-80.8394 -95.9483  535.489,-15.0071 -49.4309  66.2251,-158.101 -122.652  483.015,15.6406 17.2804 62.6627
0.15,0.0793034  0.100693  0.440478, -1.78331   1.63184 0.0048036,0.34 0.19    0, 0.34 -0.19     0,-0.34  0.19     0,-0.34 -0.19     0,-186.685 -209.146  1238.67,-30.3374 -75.1756  93.0304,-254.585  -175.13  825.219,-3.73348 -13.0782 -11.3343
0.16,0.0884362  0.114921  0.383578,   -2.3937    1.91922 -0.0300049,0.34 0.19    0, 0.34 -0.19     0,-0.34  0.19     0,-0.34 -0.19     0,-290.622 -312.789  1874.07, -32.162 -74.2556  89.6456,-342.527 -210.439  1069.23,-11.7302 -24.4204  -42.358
0.17,0.0958854  0.128339  0.332375,  -3.16765    2.22129 -0.0829975,0.34 0.19    0, 0.34 -0.19     0,-0.34  0.19     0,-0.34 -0.19     0,-388.534 -404.481  2428.61,-25.2608 -56.4743  67.3603,-419.137 -230.362  1224.47,-11.8524 -22.7647 -43.5724
0.18, 0.10109 0.140472 0.289204,-4.12815  2.53524 -0.15745,0.34 0.19    0, 0.34 -0.19     0,-0.34  0.19     0,-0.34 -0.19     0,-476.305 -481.823  2889.22,-14.4135 -31.6355  37.4644,-481.624 -236.681  1300.33,-7.60295 -14.1302 -28.1415
0.19,0.103491 0.150845 0.256404, -5.29818   2.85824 -0.256638,0.34 0.19    0, 0.34 -0.19     0,-0.34  0.19     0,-0.34 -0.19     0,-549.818 -542.418  3242.81,-4.40002 -9.54281  11.2477,-527.201 -231.177  1306.22,-2.48454  -4.5357 -9.22939
0.2,0.102526 0.158983 0.236312, -6.70075   3.18747 -0.383837,0.34 0.19    0, 0.34 -0.19     0,-0.34  0.19     0,-0.34 -0.19     0,-604.957 -583.868   3476.3,-5.68434e-14 -1.13687e-13 -1.13687e-13,-553.076 -215.633  1251.54,           0 -5.68434e-14 -2.27374e-13
0.21,0.0978264  0.164548  0.230529, -8.34489   3.51971 -0.540655,0.34 0.19    0, 0.339439 -0.189817  0.001328,-0.34  0.19     0, -0.340639  -0.189664 0.00294737,-637.605 -603.777  3576.62,0 0 0,-556.461  -191.83  1145.71,0 0 0
0.22,0.0897822   0.16775  0.237707,-10.1838  3.85016 -0.72203,0.34 0.19    0,  0.337803  -0.189284 0.00512882,-0.34  0.19     0,-0.342502 -0.188684  0.011383,-643.646 -599.746  3530.69,0 0 0,-534.566  -161.55  998.127,0 0 0
